model,validation_year,eta,residual_cap,best_iteration,rule_slope,rank_ic_mean,rank_ic_median,rank_ic_positive_share,top_bottom_spread_5d,n_dates
xgb_03,2018,0.5,0.5,1,-0.005374686057614655,0.036637495862488864,0.05714285714285714,0.5697211155378487,0.0019007299361800262,251
xgb_03,2018,0.75,0.1,1,-0.005374686057614655,0.036430513024134,0.05714285714285714,0.5697211155378487,0.001860687940988281,251
xgb_03,2018,0.75,0.25,1,-0.005374686057614655,0.036430513024134,0.05714285714285714,0.5697211155378487,0.001860687940988281,251
xgb_03,2018,0.75,0.5,1,-0.005374686057614655,0.036430513024134,0.05714285714285714,0.5697211155378487,0.001860687940988281,251
xgb_03,2018,1.0,0.1,1,-0.005374686057614655,0.036456383558099235,0.062337662337662345,0.5697211155378487,0.0019070427880846163,251
xgb_03,2018,1.0,0.25,1,-0.005374686057614655,0.036456383558099235,0.062337662337662345,0.5697211155378487,0.0019070427880846163,251
xgb_03,2018,1.0,0.5,1,-0.005374686057614655,0.036456383558099235,0.062337662337662345,0.5697211155378487,0.0019070427880846163,251
xgb_03,2019,0.05,0.1,8,0.001401069211017962,-0.0024429309864449013,-0.0038961038961038965,0.49206349206349204,-0.0022646267977299017,252
xgb_03,2019,0.05,0.25,8,0.001401069211017962,-0.0024326238332806048,-0.0038961038961038965,0.49206349206349204,-0.0022646267977299017,252
xgb_03,2019,0.05,0.5,8,0.001401069211017962,-0.0024326238332806048,-0.0038961038961038965,0.49206349206349204,-0.0022646267977299017,252
xgb_03,2019,0.1,0.1,8,0.001401069211017962,-0.0023913952206234207,-0.0038961038961038965,0.49206349206349204,-0.0022646267977299017,252
xgb_03,2019,0.1,0.25,8,0.001401069211017962,-0.0023913952206234207,-0.0038961038961038965,0.49206349206349204,-0.0022646267977299017,252
xgb_03,2019,0.1,0.5,8,0.001401069211017962,-0.0023913952206234207,-0.0038961038961038965,0.49206349206349204,-0.0022646267977299017,252
xgb_03,2019,0.25,0.1,8,0.001401069211017962,-0.0024996236769574912,0.0,0.49603174603174605,-0.0022947713959576245,252
xgb_03,2019,0.25,0.25,8,0.001401069211017962,-0.0024171664516431227,0.0,0.49603174603174605,-0.0022947713959576245,252
xgb_03,2019,0.25,0.5,8,0.001401069211017962,-0.0024171664516431227,0.0,0.49603174603174605,-0.0022947713959576245,252
xgb_03,2019,0.5,0.1,8,0.001401069211017962,-0.002324418813709256,-0.01038961038961039,0.49206349206349204,-0.0022751255468987683,252
xgb_03,2019,0.5,0.25,8,0.001401069211017962,-0.0021646345028999425,-0.01038961038961039,0.49206349206349204,-0.002270251438685143,252
xgb_03,2019,0.5,0.5,8,0.001401069211017962,-0.0021646345028999425,-0.01038961038961039,0.49206349206349204,-0.002270251438685143,252
xgb_03,2019,0.75,0.1,8,0.001401069211017962,-0.002221353978284221,-0.005194805194805195,0.49206349206349204,-0.002383395153201627,252
xgb_03,2019,0.75,0.25,8,0.001401069211017962,-0.0021749717890448884,-0.005194805194805195,0.49206349206349204,-0.002396593171904054,252
xgb_03,2019,0.75,0.5,8,0.001401069211017962,-0.0021749717890448884,-0.005194805194805195,0.49206349206349204,-0.002396593171904054,252
xgb_03,2019,1.0,0.1,8,0.001401069211017962,-0.0022740115367952474,-0.006493506493506494,0.4880952380952381,-0.0023457103546719593,252
xgb_03,2019,1.0,0.25,8,0.001401069211017962,-0.001933875482373478,-0.006493506493506494,0.4880952380952381,-0.0023230658954782675,252
xgb_03,2019,1.0,0.5,8,0.001401069211017962,-0.001933875482373478,-0.006493506493506494,0.4880952380952381,-0.0023230658954782675,252
xgb_03,2020,0.05,0.1,77,-0.002575655504326612,0.035324125068072885,0.03529411764705882,0.5454545454545454,-0.006221289813445186,253
xgb_03,2020,0.05,0.25,77,-0.002575655504326612,0.0354815112730153,0.0411764705882353,0.549407114624506,-0.006221289813445186,253
