model,eta,residual_cap,mean_rank_ic,median_rank_ic,positive_ic_years,mean_top_bottom_spread,mean_best_iteration,mean_rule_slope
xgb_04,0.75,0.25,0.024163197161119088,0.03580165983088068,2,-0.0012423898466856517,211.0,-0.0021830907836411016
xgb_19,0.25,0.25,0.024144791691977294,0.03700483824598168,2,-0.0018460334207636164,90.0,-0.0021830907836411016
xgb_19,0.25,0.5,0.024144791691977294,0.03700483824598168,2,-0.0018460334207636164,90.0,-0.0021830907836411016
xgb_12,1.0,0.25,0.024140167351434632,0.0372051643538572,2,-0.0013744287365947475,6.666666666666667,-0.0021830907836411016
xgb_12,1.0,0.5,0.024140167351434632,0.0372051643538572,2,-0.0013744287365947475,6.666666666666667,-0.0021830907836411016
xgb_14,0.75,0.5,0.024140084604245382,0.03679846823835546,2,-0.001693581642224545,64.0,-0.0021830907836411016
xgb_04,0.75,0.5,0.024132808471422282,0.03580165983088068,2,-0.0012423898466856517,211.0,-0.0021830907836411016
xgb_14,0.75,0.25,0.024123972480177946,0.03679846823835546,2,-0.0017202038337898087,64.0,-0.0021830907836411016
xgb_22,0.5,0.25,0.024104355914563478,0.03712004536292645,2,-0.0016718394519841756,38.333333333333336,-0.0021830907836411016
xgb_04,0.5,0.5,0.024103222492887082,0.036370810113730945,2,-0.0013217375824088598,211.0,-0.0021830907836411016
xgb_22,0.5,0.5,0.024091167087267773,0.03708047888103934,2,-0.0016718394519841756,38.333333333333336,-0.0021830907836411016
xgb_08,0.25,0.5,0.0240911268902045,0.036963832979769226,2,-0.001585273639891406,207.33333333333334,-0.0021830907836411016
xgb_08,0.25,0.25,0.024087251822390816,0.036963832979769226,2,-0.001618098140317583,207.33333333333334,-0.0021830907836411016
xgb_04,0.5,0.25,0.02406623938954242,0.036370810113730945,2,-0.0013217375824088598,211.0,-0.0021830907836411016
xgb_22,1.0,0.1,0.024058937243910488,0.03705841025912914,2,-0.0014843120603206794,38.333333333333336,-0.0021830907836411016
xgb_03,0.5,0.5,0.02404499968135308,0.036637495862488864,2,-0.0015190035962542444,28.666666666666668,-0.0021830907836411016
xgb_20,0.75,0.5,0.024044268111904927,0.03615940276952933,2,-0.0015592101395215743,41.333333333333336,-0.0021830907836411016
xgb_02,0.25,0.5,0.02403262999524694,0.03709832451231874,2,-0.0015560771034647339,195.0,-0.0021830907836411016
xgb_28,0.75,0.5,0.024030642695761495,0.03607654643896423,2,-0.001261427226902754,30.333333333333332,-0.0021830907836411016
xgb_26,0.25,0.5,0.02402924956240728,0.03708079077963646,2,-0.0016362141952770985,244.33333333333334,-0.0021830907836411016
xgb_05,1.0,0.25,0.024027914485015765,0.036925813310140145,2,-0.0011502861393507613,13.0,-0.0021830907836411016
xgb_03,0.5,0.25,0.02401407544219052,0.036637495862488864,2,-0.0015190035962542444,28.666666666666668,-0.0021830907836411016
xgb_26,0.25,0.25,0.024013749291152537,0.03708079077963646,2,-0.001669038695703275,244.33333333333334,-0.0021830907836411016
xgb_17,0.5,0.1,0.02400591465912147,0.03688809084409924,2,-0.0018476805849652626,19.333333333333332,-0.0021830907836411016
xgb_13,0.25,0.5,0.02399709160973294,0.03732045408795593,2,-0.0017170695559310344,31.0,-0.0021830907836411016
xgb_29,1.0,0.25,0.023991974139790557,0.035387388262399275,2,-0.001477129714673428,53.333333333333336,-0.0021830907836411016
xgb_29,1.0,0.5,0.023991974139790557,0.035387388262399275,2,-0.001477129714673428,53.333333333333336,-0.0021830907836411016
xgb_28,0.75,0.25,0.02399182403397877,0.03607654643896423,2,-0.001405674116060922,30.333333333333332,-0.0021830907836411016
xgb_11,1.0,0.25,0.023988872983764536,0.036187983920612045,2,-0.0018171844804182058,19.666666666666668,-0.0021830907836411016
xgb_20,0.75,0.25,0.02398804298807007,0.03615940276952933,2,-0.001676834837114479,41.333333333333336,-0.0021830907836411016
xgb_22,0.5,0.1,0.023984992891028924,0.03683410636447285,2,-0.0020163269465089,38.333333333333336,-0.0021830907836411016
xgb_02,0.25,0.25,0.023981642260856324,0.03709832451231874,2,-0.0015889016038909108,195.0,-0.0021830907836411016
xgb_04,0.1,0.5,0.02397654253715441,0.03689659856983245,2,-0.001967343823608586,211.0,-0.0021830907836411016
xgb_28,0.1,0.5,0.023965637396756483,0.0364319533059361,2,-0.0020074268100929303,30.333333333333332,-0.0021830907836411016
xgb_13,0.25,0.25,0.02396547921441076,0.03732045408795593,2,-0.0017498940563572113,31.0,-0.0021830907836411016
xgb_10,0.25,0.25,0.023961770205329035,0.03709540887639289,2,-0.0016288001207317227,106.66666666666667,-0.0021830907836411016
xgb_10,0.25,0.5,0.023954020069701657,0.03709540887639289,2,-0.0015959756203055458,106.66666666666667,-0.0021830907836411016
xgb_04,0.1,0.25,0.02394785343860396,0.0368105312741811,2,-0.0019924441174654093,211.0,-0.0021830907836411016
