family,mode,alpha,year,n,qlike,base_qlike,relative_gain,dm_t,dm_p,mean_multiplier,p95_multiplier,share_amplified
attention+sentiment,amplify_only,0.1,2019,4411,0.5451662260035082,0.5690285559041661,0.041935206332029434,-1.0632593977246358,0.2876643325510426,1.1709688277440318,1.254747953814742,0.9943323509408297
attention+sentiment,amplify_only,0.1,2020,4118,1.3863888174661363,2.0549804052248644,0.32535180679037573,-1.4301742887246864,0.15266700285663237,1.2219029608519774,1.4895924038212083,0.9990286546867412
attention+sentiment,amplify_only,0.1,2021,3780,0.4791564132705083,0.4761427923157888,-0.0063292377903323635,0.10042631501853362,0.9200058790052159,1.2622225485943188,1.4895924038212083,0.9994708994708995
attention+sentiment,amplify_only,0.1,2022,3937,0.35027532741416806,0.3917573677340429,0.10588707127529064,-1.5752337505766956,0.11520249946105143,1.2311564387060823,1.4895924038212083,0.9900939801879604
attention+sentiment,amplify_only,0.1,2023,3874,0.4245694523589467,0.4260930833025401,0.0035758171237704416,-0.05312174106475401,0.9576349090430489,1.184175654998136,1.4895924038212083,0.9445018069179143
attention+source,two_sided,10.0,2019,4411,0.544103023490587,0.5690285559041661,0.04380365827857849,-1.674505810674453,0.0940312333817157,1.1117853823029167,1.1894549688138367,1.0
attention+source,two_sided,10.0,2020,4118,1.8039590247987003,2.0549804052248644,0.12215268806842773,-2.2420916524006533,0.024955449400520413,1.1071882316309465,1.2104415487502884,1.0
attention+source,two_sided,10.0,2021,3780,0.4422734961110716,0.4761427923157888,0.07113264497817777,-2.5257570946796775,0.011544927413529305,1.088422658951084,1.1611441302150967,1.0
attention+source,two_sided,10.0,2022,3937,0.341437298700668,0.3917573677340429,0.1284470265981986,-3.0578629599093907,0.0022292149522176175,1.1304464407433519,1.236664129178404,1.0
attention+source,two_sided,10.0,2023,3874,0.42672735368005116,0.4260930833025401,-0.0014885723386894724,0.05992285938685943,0.952217073449046,1.176230605908576,1.3078972825490676,1.0
attention+source,amplify_only,10.0,2019,4411,0.544103023490587,0.5690285559041661,0.04380365827857849,-1.674505810674453,0.0940312333817157,1.1117853823029167,1.1894549688138367,1.0
attention+source,amplify_only,10.0,2020,4118,1.8039590247987003,2.0549804052248644,0.12215268806842773,-2.2420916524006533,0.024955449400520413,1.1071882316309465,1.2104415487502884,1.0
attention+source,amplify_only,10.0,2021,3780,0.4422734961110716,0.4761427923157888,0.07113264497817777,-2.5257570946796775,0.011544927413529305,1.088422658951084,1.1611441302150967,1.0
attention+source,amplify_only,10.0,2022,3937,0.341437298700668,0.3917573677340429,0.1284470265981986,-3.0578629599093907,0.0022292149522176175,1.1304464407433519,1.236664129178404,1.0
attention+source,amplify_only,10.0,2023,3874,0.42672735368005116,0.4260930833025401,-0.0014885723386894724,0.05992285938685943,0.952217073449046,1.176230605908576,1.3078972825490676,1.0
attention+events,two_sided,0.1,2019,4411,0.5442794502173175,0.5690285559041661,0.043493609292635904,-1.129878654301032,0.258527359556743,1.168647916925361,1.2975908312607927,0.9943323509408297
attention+events,two_sided,0.1,2020,4118,1.3979646678184874,2.0549804052248644,0.3197187358749942,-1.4095074786908046,0.1586851636285851,1.220208948089544,1.4945148864832003,0.9973288003885381
attention+events,two_sided,0.1,2021,3780,0.4816952953997691,0.4761427923157888,-0.011661424206328647,0.1837788808563507,0.8541869245710418,1.2684211605473772,1.4945148864832003,0.9997354497354497
attention+events,two_sided,0.1,2022,3937,0.3532307775647075,0.3917573677340429,0.09834298814129878,-1.436103385726983,0.15097292483483749,1.2390248672997417,1.4945148864832003,0.9895859791719583
attention+events,two_sided,0.1,2023,3874,0.42311210214828104,0.4260930833025401,0.006996079662110941,-0.12301144704339403,0.9020980333834097,1.1759233928674286,1.4945148864832003,0.9326277749096541
attention+events,amplify_only,0.1,2019,4411,0.5444255158282747,0.5690285559041661,0.043236916356153815,-1.122545873209237,0.26163041444240864,1.1688891813904692,1.2975908312607927,0.9943323509408297
attention+events,amplify_only,0.1,2020,4118,1.39788485617678,2.0549804052248644,0.3197575740271753,-1.4096532984879884,0.1586420809164628,1.220284062370753,1.4945148864832003,0.9973288003885381
attention+events,amplify_only,0.1,2021,3780,0.4816944639217872,0.4761427923157888,-0.011659677927701156,0.1837513477862275,0.854208524967538,1.2684217705042593,1.4945148864832003,0.9997354497354497
attention+events,amplify_only,0.1,2022,3937,0.3525128296863868,0.3917573677340429,0.10017562215779056,-1.4556200148176417,0.1454976919981532,1.2393906469572928,1.4945148864832003,0.9895859791719583
attention+events,amplify_only,0.1,2023,3874,0.42264261588326196,0.4260930833025401,0.00809791933850327,-0.1405869327677155,0.8881962718438079,1.1807915295856317,1.4945148864832003,0.9326277749096541
expanded_all,two_sided,10.0,2019,4411,0.5434359016480121,0.5690285559041661,0.04497604556152399,-1.642721967397885,0.10044047156736324,1.1180524537676857,1.1977719903024406,1.0
expanded_all,two_sided,10.0,2020,4118,1.7992776128900403,2.0549804052248644,0.12443076911326754,-2.2337194605162667,0.02550153771829322,1.1131853276198804,1.219576085823498,1.0
expanded_all,two_sided,10.0,2021,3780,0.44212292773434925,0.4761427923157888,0.07144887023487026,-2.405051276607368,0.016170196716284613,1.095188005380867,1.1818350333137226,1.0
expanded_all,two_sided,10.0,2022,3937,0.34086232344791234,0.3917573677340429,0.12991470863844048,-2.9230967099682466,0.0034656885517909686,1.1400128418099271,1.2385766831640805,1.0
expanded_all,two_sided,10.0,2023,3874,0.425516138964883,0.4260930833025401,0.0013540335674668608,-0.001928120331647809,0.9984615835092234,1.1790807138190074,1.2961171582786104,1.0
expanded_all,amplify_only,10.0,2019,4411,0.5434359016480121,0.5690285559041661,0.04497604556152399,-1.642721967397885,0.10044047156736324,1.1180524537676857,1.1977719903024406,1.0
expanded_all,amplify_only,10.0,2020,4118,1.7992776128900403,2.0549804052248644,0.12443076911326754,-2.2337194605162667,0.02550153771829322,1.1131853276198804,1.219576085823498,1.0
expanded_all,amplify_only,10.0,2021,3780,0.44212292773434925,0.4761427923157888,0.07144887023487026,-2.405051276607368,0.016170196716284613,1.095188005380867,1.1818350333137226,1.0
expanded_all,amplify_only,10.0,2022,3937,0.34086232344791234,0.3917573677340429,0.12991470863844048,-2.9230967099682466,0.0034656885517909686,1.1400128418099271,1.2385766831640805,1.0
expanded_all,amplify_only,10.0,2023,3874,0.425516138964883,0.4260930833025401,0.0013540335674668608,-0.001928120331647809,0.9984615835092234,1.1790807138190074,1.2961171582786104,1.0
