outer_year,horizon,scope,stage,feature,alpha,median_gain,mean_gain,worst_gain,positive_fold_share,accepted
2019,20,research,family_forward,causal_state,10.0,-0.027127488803115517,-0.027364492515513567,-0.03207093990248227,0.0,False
2019,20,research,drop_column,has_news,10.0,0.0016786904253382237,-0.0018395593997037674,-0.009657522458084065,0.6666666666666666,True
2019,20,research,drop_column,log_count,10.0,-0.003304060553141473,-0.0034975851760977034,-0.006750583284075595,0.0,False
2019,20,research,drop_column,news_state_uncovered,10.0,0.0,0.0,0.0,0.0,False
2019,20,research,drop_column,news_state_silent,10.0,-0.023396644036051354,-0.025408839380262366,-0.03095923542148949,0.0,False
2019,20,research,drop_column,news_state_stale,10.0,0.0,0.0,0.0,0.0,False
2019,20,deployable,family_forward,attention,0.001,-0.0758763780369217,-0.12085406437045342,-0.22885946964899775,0.0,False
2019,20,deployable,family_forward,sentiment,10.0,-0.056718367330605556,-0.08087409069999474,-0.1510399349856995,0.0,False
2019,20,deployable,family_forward,source_diffusion_novelty,0.001,-0.05135475242938992,-0.07831358414143977,-0.14815061131631702,0.0,False
2019,20,deployable,family_forward,events,10.0,-0.03841016312535766,-0.04014216309431708,-0.07657542027839084,0.0,False
2019,20,deployable,family_forward,causal_state,10.0,-0.027127488803115517,-0.027364492515513567,-0.03207093990248227,0.0,False
2019,20,deployable,drop_column,has_news,10.0,0.0016786904253382237,-0.0018395593997037674,-0.009657522458084065,0.6666666666666666,True
2019,20,deployable,drop_column,log_count,10.0,-0.003304060553141473,-0.0034975851760977034,-0.006750583284075595,0.0,False
2019,20,deployable,drop_column,news_state_uncovered,10.0,0.0,0.0,0.0,0.0,False
2019,20,deployable,drop_column,news_state_silent,10.0,-0.023396644036051354,-0.025408839380262366,-0.03095923542148949,0.0,False
2019,20,deployable,drop_column,news_state_stale,10.0,0.0,0.0,0.0,0.0,False
2020,20,research,family_forward,attention,10.0,-0.0667726287169487,-0.10415113219419465,-0.22887221776751232,0.0,False
2020,20,research,family_forward,sentiment,10.0,-0.04682653011151258,-0.06988924124810096,-0.1510399349856995,0.0,False
2020,20,research,family_forward,source_diffusion_novelty,10.0,-0.05185595746070565,-0.07326934305450777,-0.1536735054070419,0.0,False
2020,20,research,family_forward,events,10.0,-0.023861625557297164,-0.03243489431804698,-0.07657542027839084,0.0,False
2020,20,research,family_forward,causal_state,10.0,-0.025011268822029212,-0.022281150615211538,-0.03207093990248227,0.0,False
2020,20,research,drop_column,has_news,10.0,0.0020694221294863817,-0.0006114997955663815,-0.009657522458084065,0.75,True
2020,20,research,drop_column,log_count,10.0,-0.0020387295754359888,-0.0028165385315059035,-0.006750583284075595,0.0,False
2020,20,research,drop_column,news_state_uncovered,10.0,0.0,0.0,0.0,0.0,False
2020,20,research,drop_column,news_state_silent,10.0,-0.022633641359648803,-0.02073995921104921,-0.03095923542148949,0.0,False
2020,20,research,drop_column,news_state_stale,10.0,0.0,0.0,0.0,0.0,False
2020,20,deployable,family_forward,attention,10.0,-0.0667726287169487,-0.10415113219419465,-0.22887221776751232,0.0,False
2020,20,deployable,family_forward,sentiment,10.0,-0.04682653011151258,-0.06988924124810096,-0.1510399349856995,0.0,False
2020,20,deployable,family_forward,source_diffusion_novelty,0.001,-0.05000404167043601,-0.07089852083395035,-0.14815061131631702,0.0,False
2020,20,deployable,family_forward,events,10.0,-0.023861625557297164,-0.03243489431804698,-0.07657542027839084,0.0,False
2020,20,deployable,family_forward,causal_state,10.0,-0.025011268822029212,-0.022281150615211538,-0.03207093990248227,0.0,False
2020,20,deployable,drop_column,has_news,10.0,0.0020694221294863817,-0.0006114997955663815,-0.009657522458084065,0.75,True
2020,20,deployable,drop_column,log_count,10.0,-0.0020387295754359888,-0.0028165385315059035,-0.006750583284075595,0.0,False
2020,20,deployable,drop_column,news_state_uncovered,10.0,0.0,0.0,0.0,0.0,False
2020,20,deployable,drop_column,news_state_silent,10.0,-0.022633641359648803,-0.02073995921104921,-0.03095923542148949,0.0,False
2020,20,deployable,drop_column,news_state_stale,10.0,0.0,0.0,0.0,0.0,False
2021,20,research,family_forward,attention,0.001,-0.0758763780369217,-0.12979828440572796,-0.23224056183251393,0.0,False
2021,20,research,family_forward,sentiment,10.0,-0.056718367330605556,-0.07303836454089734,-0.1510399349856995,0.0,False
